2022-09-18 20:11:24,371 INFO    MainThread:16844 [wandb_setup.py:_flush():76] Configure stats pid to 16844
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_setup.py:_flush():76] Loading settings from /Users/elvis/.config/wandb/settings
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_setup.py:_flush():76] Loading settings from /Users/elvis/Desktop/School/2022/cpsc_536/hw1/wandb/settings
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'hw1_q3.py', 'program': '/Users/elvis/Desktop/School/2022/cpsc_536/hw1/hw1_q3.py'}
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_init.py:_log_setup():461] Logging user logs to /Users/elvis/Desktop/School/2022/cpsc_536/hw1/wandb/run-20220918_201124-2eruyitq/logs/debug.log
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_init.py:_log_setup():462] Logging internal logs to /Users/elvis/Desktop/School/2022/cpsc_536/hw1/wandb/run-20220918_201124-2eruyitq/logs/debug-internal.log
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_init.py:init():495] calling init triggers
2022-09-18 20:11:24,372 INFO    MainThread:16844 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-18 20:11:24,373 INFO    MainThread:16844 [wandb_init.py:init():548] starting backend
2022-09-18 20:11:24,373 INFO    MainThread:16844 [wandb_init.py:init():552] setting up manager
2022-09-18 20:11:24,379 INFO    MainThread:16844 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-09-18 20:11:24,383 INFO    MainThread:16844 [wandb_init.py:init():558] backend started and connected
2022-09-18 20:11:24,387 INFO    MainThread:16844 [wandb_init.py:init():636] updated telemetry
2022-09-18 20:11:24,388 INFO    MainThread:16844 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-09-18 20:11:24,632 INFO    MainThread:16844 [wandb_run.py:_on_init():1982] communicating current version
2022-09-18 20:11:24,708 INFO    MainThread:16844 [wandb_run.py:_on_init():1986] got version response upgrade_message: "wandb version 0.13.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-09-18 20:11:24,708 INFO    MainThread:16844 [wandb_init.py:init():700] starting run threads in backend
2022-09-18 20:11:26,688 INFO    MainThread:16844 [wandb_run.py:_console_start():1962] atexit reg
2022-09-18 20:11:26,688 INFO    MainThread:16844 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-09-18 20:11:26,688 INFO    MainThread:16844 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-09-18 20:11:26,688 INFO    MainThread:16844 [wandb_run.py:_redirect():1907] Redirects installed.
2022-09-18 20:11:26,688 INFO    MainThread:16844 [wandb_init.py:init():732] run started, returning control to user process
2022-09-18 20:11:26,807 INFO    MainThread:16844 [wandb_run.py:_config_callback():1152] config_cb None None {'wandb_entity': 'elvis_cai', 'wandb_project': 'hw1', 'wandb_logging': 'True', 'seed': 1002}
