2022-10-26 01:29:06,986 INFO    MainThread:13226 [wandb_setup.py:_flush():68] Configure stats pid to 13226
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_setup.py:_flush():68] Loading settings from /Users/elvis/.config/wandb/settings
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_setup.py:_flush():68] Loading settings from /Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/wandb/settings
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program': '/Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/run.py'}
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_init.py:_log_setup():476] Logging user logs to /Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/wandb/run-20221026_012906-2e2ewk8t/logs/debug.log
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/wandb/run-20221026_012906-2e2ewk8t/logs/debug-internal.log
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_init.py:init():516] calling init triggers
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_init.py:init():569] starting backend
2022-10-26 01:29:06,987 INFO    MainThread:13226 [wandb_init.py:init():573] setting up manager
2022-10-26 01:29:06,992 INFO    MainThread:13226 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-10-26 01:29:07,013 INFO    MainThread:13226 [wandb_init.py:init():580] backend started and connected
2022-10-26 01:29:07,026 INFO    MainThread:13226 [wandb_init.py:init():658] updated telemetry
2022-10-26 01:29:07,056 INFO    MainThread:13226 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-26 01:29:07,294 INFO    MainThread:13226 [wandb_run.py:_on_init():2000] communicating current version
2022-10-26 01:29:07,399 INFO    MainThread:13226 [wandb_run.py:_on_init():2004] got version response 
2022-10-26 01:29:07,399 INFO    MainThread:13226 [wandb_init.py:init():728] starting run threads in backend
2022-10-26 01:29:07,461 INFO    MainThread:13226 [wandb_run.py:_console_start():1980] atexit reg
2022-10-26 01:29:07,461 INFO    MainThread:13226 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-26 01:29:07,462 INFO    MainThread:13226 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-26 01:29:07,462 INFO    MainThread:13226 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-26 01:29:07,462 INFO    MainThread:13226 [wandb_init.py:init():765] run started, returning control to user process
