2022-10-26 16:21:55,183 INFO    MainThread:20922 [wandb_setup.py:_flush():68] Configure stats pid to 20922
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_setup.py:_flush():68] Loading settings from /Users/elvis/.config/wandb/settings
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_setup.py:_flush():68] Loading settings from /Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/wandb/settings
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program': '/Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/run.py'}
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_init.py:_log_setup():476] Logging user logs to /Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/wandb/run-20221026_162155-27bjxerl/logs/debug.log
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/elvis/Desktop/School/2022/cpsc_536/CPSC532W_hw4/wandb/run-20221026_162155-27bjxerl/logs/debug-internal.log
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_init.py:init():516] calling init triggers
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_init.py:init():569] starting backend
2022-10-26 16:21:55,184 INFO    MainThread:20922 [wandb_init.py:init():573] setting up manager
2022-10-26 16:21:55,188 INFO    MainThread:20922 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-10-26 16:21:55,193 INFO    MainThread:20922 [wandb_init.py:init():580] backend started and connected
2022-10-26 16:21:55,201 INFO    MainThread:20922 [wandb_init.py:init():658] updated telemetry
2022-10-26 16:21:55,214 INFO    MainThread:20922 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-26 16:21:55,456 INFO    MainThread:20922 [wandb_run.py:_on_init():2000] communicating current version
2022-10-26 16:21:55,559 INFO    MainThread:20922 [wandb_run.py:_on_init():2004] got version response 
2022-10-26 16:21:55,559 INFO    MainThread:20922 [wandb_init.py:init():728] starting run threads in backend
2022-10-26 16:21:55,615 INFO    MainThread:20922 [wandb_run.py:_console_start():1980] atexit reg
2022-10-26 16:21:55,615 INFO    MainThread:20922 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-26 16:21:55,615 INFO    MainThread:20922 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-26 16:21:55,615 INFO    MainThread:20922 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-26 16:21:55,616 INFO    MainThread:20922 [wandb_init.py:init():765] run started, returning control to user process
